hhid,def_kcal_ae_hh,micro_req_count,micro_rec_count,micro_req_count_pct,micro_rec_count_pct
2093322207,0,3,2,0.25,0.166666666667
2093322209,1,0,0,0.0,0.0
2093322210,1,3,3,0.25,0.25
2093322211,1,1,0,0.0833333333333,0.0
2093322212,1,1,1,0.0833333333333,0.0833333333333
2093322214,1,2,2,0.166666666667,0.166666666667
2093322215,1,1,0,0.0833333333333,0.0
2093322216,1,0,0,0.0,0.0
2093322217,1,0,0,0.0,0.0
2093322218,1,0,0,0.0,0.0
2093322219,1,6,5,0.5,0.416666666667
2093322286,0,8,7,0.666666666667,0.583333333333
2093322300,1,1,0,0.0833333333333,0.0
2093322301,1,3,3,0.25,0.25
2093322303,0,10,7,0.833333333333,0.583333333333
2093322305,1,2,0,0.166666666667,0.0
2093322306,1,3,3,0.25,0.25
2093322307,1,0,0,0.0,0.0
2093322308,1,9,7,0.75,0.583333333333
2093325257,0,4,2,0.333333333333,0.166666666667
2093325258,1,3,2,0.25,0.166666666667
2093325260,1,4,3,0.333333333333,0.25
2093325261,1,4,3,0.333333333333,0.25
2093325300,1,2,0,0.166666666667,0.0
2093325301,1,3,2,0.25,0.166666666667
2093325302,1,1,0,0.0833333333333,0.0
2093325303,1,1,1,0.0833333333333,0.0833333333333
2093325305,0,5,4,0.416666666667,0.333333333333
2093325306,1,3,2,0.25,0.166666666667
2093325307,1,2,2,0.166666666667,0.166666666667
2093326100,1,2,2,0.166666666667,0.166666666667
2093326101,0,7,5,0.583333333333,0.416666666667
2093326104,1,1,1,0.0833333333333,0.0833333333333
2093326105,1,6,5,0.5,0.416666666667
2093326106,1,4,4,0.333333333333,0.333333333333
2093326107,0,8,7,0.666666666667,0.583333333333
2093326108,0,9,7,0.75,0.583333333333
2093326109,0,10,8,0.833333333333,0.666666666667
2093326110,1,4,2,0.333333333333,0.166666666667
2093326111,0,2,1,0.166666666667,0.0833333333333
2093326113,0,6,6,0.5,0.5
2093326114,1,3,3,0.25,0.25
2093326115,1,2,1,0.166666666667,0.0833333333333
2093326116,0,8,5,0.666666666667,0.416666666667
2093326117,1,4,2,0.333333333333,0.166666666667
2093326118,1,1,0,0.0833333333333,0.0
2093326119,1,3,3,0.25,0.25
2093326120,1,7,4,0.583333333333,0.333333333333
2093326121,1,2,1,0.166666666667,0.0833333333333
2093326122,1,5,3,0.416666666667,0.25
2093326123,0,9,8,0.75,0.666666666667
2093326124,1,0,0,0.0,0.0
2093326125,0,4,1,0.333333333333,0.0833333333333
2093326127,0,6,5,0.5,0.416666666667
2093326128,1,1,0,0.0833333333333,0.0
2093326129,1,1,0,0.0833333333333,0.0
2093326130,0,5,3,0.416666666667,0.25
2093326131,0,7,5,0.583333333333,0.416666666667
2093326132,1,0,0,0.0,0.0
2093326134,1,1,1,0.0833333333333,0.0833333333333
2093326135,1,2,2,0.166666666667,0.166666666667
2093326136,0,9,7,0.75,0.583333333333
2093326137,1,2,2,0.166666666667,0.166666666667
2093326139,1,8,6,0.666666666667,0.5
2093326140,1,0,0,0.0,0.0
2093326142,1,2,1,0.166666666667,0.0833333333333
2093326143,1,1,1,0.0833333333333,0.0833333333333
2093326145,1,3,1,0.25,0.0833333333333
2093326146,0,8,6,0.666666666667,0.5
2093326147,1,1,1,0.0833333333333,0.0833333333333
2093326149,1,6,3,0.5,0.25
2093326150,1,3,1,0.25,0.0833333333333
2093326176,1,3,3,0.25,0.25
2093326292,1,3,1,0.25,0.0833333333333
2093326293,1,1,0,0.0833333333333,0.0
2093326300,1,4,3,0.333333333333,0.25
2093326302,1,4,2,0.333333333333,0.166666666667
2093326303,0,7,5,0.583333333333,0.416666666667
2093326304,1,3,2,0.25,0.166666666667
2093326307,0,7,7,0.583333333333,0.583333333333
2093327152,1,3,2,0.25,0.166666666667
2093327154,1,3,3,0.25,0.25
2093327155,0,5,4,0.416666666667,0.333333333333
2093327156,1,1,1,0.0833333333333,0.0833333333333
2093327157,1,3,3,0.25,0.25
2093327159,0,11,10,0.916666666667,0.833333333333
2093327160,1,0,0,0.0,0.0
2093327161,0,7,7,0.583333333333,0.583333333333
2093327163,1,2,0,0.166666666667,0.0
2093327164,1,0,0,0.0,0.0
2093327165,1,3,0,0.25,0.0
2093327166,0,5,4,0.416666666667,0.333333333333
2093327167,1,1,1,0.0833333333333,0.0833333333333
2093327168,1,1,1,0.0833333333333,0.0833333333333
2093327169,0,8,6,0.666666666667,0.5
2093327268,1,4,2,0.333333333333,0.166666666667
2093327272,1,0,0,0.0,0.0
2093327300,1,0,0,0.0,0.0
2093327301,0,8,5,0.666666666667,0.416666666667
2093327302,1,1,0,0.0833333333333,0.0
2093327303,0,7,7,0.583333333333,0.583333333333
2093327304,1,0,0,0.0,0.0
2093327305,1,4,1,0.333333333333,0.0833333333333
2093327306,0,5,5,0.416666666667,0.416666666667
2093327307,1,2,2,0.166666666667,0.166666666667
2093328262,1,0,0,0.0,0.0
2093328263,1,5,3,0.416666666667,0.25
2093328300,1,4,1,0.333333333333,0.0833333333333
2093328301,1,0,0,0.0,0.0
2093328302,1,3,3,0.25,0.25
2093328304,1,5,3,0.416666666667,0.25
2093328305,1,7,5,0.583333333333,0.416666666667
2093330264,0,7,4,0.583333333333,0.333333333333
2093330270,1,0,0,0.0,0.0
2093330271,1,1,0,0.0833333333333,0.0
2093330273,1,2,1,0.166666666667,0.0833333333333
2093330275,1,6,4,0.5,0.333333333333
2093330276,1,2,0,0.166666666667,0.0
2093330300,1,2,1,0.166666666667,0.0833333333333
2093330301,1,6,5,0.5,0.416666666667
2093330302,1,2,0,0.166666666667,0.0
2093330306,0,8,6,0.666666666667,0.5
2093330307,1,0,0,0.0,0.0
2093848100,1,0,0,0.0,0.0
2093848101,1,6,5,0.5,0.416666666667
2093848102,1,6,4,0.5,0.333333333333
2093848103,0,1,0,0.0833333333333,0.0
2093848104,1,0,0,0.0,0.0
2093848105,1,1,0,0.0833333333333,0.0
2093848106,0,10,10,0.833333333333,0.833333333333
2093848107,0,10,9,0.833333333333,0.75
2093848108,1,2,1,0.166666666667,0.0833333333333
2093848109,0,8,8,0.666666666667,0.666666666667
2093848110,1,4,4,0.333333333333,0.333333333333
2093848111,1,1,0,0.0833333333333,0.0
